tmID,year,points_prev1,oRebounds_prev1,dRebounds_prev1,assists_prev1,steals_prev1,blocks_prev1,turnovers_prev1,PF_prev1,confID,playoff,won_prev1
11,4,120.51158720560355,13.942056640537945,36.30951590423657,27.43179322084725,14.176787612570575,3.9821657855423465,25.331373692954468,40.13568686595923,0,0,18.0
11,5,135.16258814446718,14.29116128099173,34.49234906148597,28.38360979002013,13.008959448794515,6.042570487457539,27.050343650296305,28.037907990768815,0,1,16.0
11,6,144.37028384293902,16.97017138156857,62.83950398243206,36.34647286626871,21.43558990971036,9.45183068296851,48.902334749057374,58.18473348968847,0,1,18.0
11,7,107.16573715336361,13.251259388530238,43.9614175894889,26.370699332252222,13.423182143685118,5.508523529459156,38.782761573581176,40.31156975387446,0,0,18.0
11,8,148.11370897604473,19.04026907726523,45.6710227057635,26.921624646250123,19.433137495771653,6.478438823616296,30.192570392156863,39.88560615250649,0,1,11.0
11,9,160.89772984028664,20.36366591085043,55.38705019465776,35.033932463334445,19.26188692318067,9.137204749915117,43.93000456110501,51.004456816851906,0,1,16.0
11,10,178.2810286324735,27.606993639950012,53.521667255257924,38.478070310466435,19.771549982360863,7.145233380142823,36.67128618437292,46.89701619980579,0,0,19.0
12,2,112.73119912272264,20.2680796474938,35.83228386154126,25.978057962373118,13.670518701288048,9.011282306532944,29.38274525483645,42.08848674830449,0,0,16.0
12,3,180.30565064051083,28.62099573316213,60.490537236347244,32.23364937038839,25.289124931191775,13.75101271747028,47.792296669652785,72.34772150229125,0,0,13.0
13,2,158.77007636433171,20.378069096495793,52.57210783739625,40.3247610271387,21.93306549352217,7.709451174695228,44.89616415220172,65.33673141267607,1,0,20.0
13,3,148.73720138689006,20.912378877235582,60.08053256231477,33.52885112285624,19.884171383923565,8.196696458349832,40.974886175776575,48.617292037372714,1,0,13.0
13,4,173.15326781985206,32.24479158837461,52.39713154100116,40.214257776835034,29.846901044507504,6.81401659739707,49.53005062711611,66.96521394414151,1,0,11.0
13,5,141.36408005623372,26.17060229405402,43.0930585351943,20.62760269290864,17.825567379655745,8.598062990284356,29.05657975935463,44.94805864115515,1,0,8.0
13,6,148.9064561210487,23.18426737301344,42.95713263702067,29.571451895679335,17.73941975299289,9.568600488839866,27.739415335870117,55.67596034914396,1,0,17.0
13,7,142.62105593701236,29.315625169542688,51.777618977031686,45.007247806967406,22.407924682119027,8.293614282082789,34.30330644877359,69.88686294049654,1,0,16.0
13,8,222.24078676197985,24.924397418790033,62.38007025058276,43.14889959527411,21.566267718458356,9.562524307998356,36.61693087698124,59.01910434934838,1,1,18.0
13,9,147.0965043514247,18.747883203395766,48.03093531072879,38.47817656250278,18.1903840991696,7.767195524282956,30.844237801531612,45.91154007470455,1,0,23.0
13,10,187.54606596148386,24.539723252452426,56.12373057974822,41.28833782853328,19.079497964758346,8.65470518848894,33.9270876433602,56.39275539562617,1,1,16.0
14,2,148.56874981092497,22.136205219383505,43.59728389538901,31.65131459306583,18.003674665842343,6.481591591458327,35.96947273899681,50.66324757248037,1,0,10.0
14,3,165.97367954679302,28.558586364264315,64.51772356237416,41.71944931495331,22.39931380976686,10.587622360923447,46.15700389279303,65.86691336128962,1,0,11.0
15,2,190.59970465704026,24.82886955054601,46.77142407631065,42.12212419765217,23.536236228594394,12.565788585782535,39.81851251763087,42.4287534830754,1,1,21.0
15,3,195.4309953347671,27.367771868721963,69.42062391844401,42.62814309754753,18.04747825614583,11.842685361065312,39.60219668994415,50.511348189924476,1,0,20.0
15,4,150.89495037258916,22.29915904017083,44.72367453382923,25.586530330124752,19.765194013101457,7.803186866963616,27.86598474398281,42.67709741404582,1,1,14.0
15,5,152.67340216681632,23.71793569000664,49.37684535689677,35.32202068781474,22.155100231388218,8.18536993783722,32.17949683674743,49.66337057587705,1,1,19.0
15,6,119.30743916744476,23.186557604515144,41.21614190222338,26.19002540636741,17.384638903261642,7.109003797613358,28.86511884450874,41.07036810511842,1,1,18.0
15,7,138.58399155956636,21.47843516376931,40.37637252906318,30.019740545786853,18.28644076832565,5.775439269629101,28.221428554002756,36.88705649845547,1,1,25.0
15,8,194.80862898284778,35.634569909563666,69.88043937987156,41.59231437583566,25.37385448241757,6.137532917225457,40.42450538021136,57.53695936784073,1,1,21.0
15,9,139.59251960561681,29.76070546435123,57.98458393116887,28.65340726158806,16.875502908955443,6.060352225295875,42.201149204414975,41.822201915889906,1,1,19.0
15,10,189.71814827538435,29.400929205433084,51.22631063576865,36.08134899954982,29.45065569747058,5.71945660804815,46.45113917005534,58.092560012092115,1,0,18.0
16,4,138.93903171835603,19.436090243171027,44.088997675133804,27.101172646734167,15.327268223705115,10.83305353064664,36.116448514679675,46.413978743193866,1,0,0.0
16,5,204.6553426816788,35.58158800645357,63.27672808539022,37.64378985238584,19.814288380618247,11.3811842113481,48.984334890842,65.55761266291015,1,0,12.0
16,6,117.54201163144504,12.767038060488213,31.278952492491186,22.983823977774094,11.270683432036686,3.0129805381869486,26.483220945214597,38.08099271703922,1,0,9.0
16,7,98.82491658821849,7.611005055716565,24.598748058324816,30.905271472703284,11.481428063459193,2.5114985336733913,25.833030106818775,25.427580113240538,1,0,7.0
16,8,126.15587524039569,17.519308806589393,50.01524489241443,30.11411562537982,13.998928640065444,15.386476879553726,28.037486718921333,39.68272425608214,1,1,13.0
16,9,95.23101003595806,14.88743976004439,34.59081338184192,27.418009517858742,11.183567555834818,8.712282762951393,22.66312300846584,30.026148306930196,1,1,20.0
16,10,124.87892435998913,11.11291436163779,42.41886523765274,30.85745690757388,13.397488114326695,6.851032756208589,25.508528594079756,31.340748274757726,1,1,24.0
17,2,160.66919192742267,17.53389875044789,58.34965434891417,30.721440181183393,17.535031017513994,7.104955421994111,56.96411232032322,70.68768621012487,1,0,6.0
17,3,189.35861898435016,23.11885819612724,66.77578300361421,38.68770802017092,19.19905968160903,8.949519094644554,34.36844271483494,53.85002747047891,1,1,10.0
17,4,160.73848815951942,29.49401491559533,55.64333754490811,35.282990367059625,25.482918303677945,10.841726611669415,37.849879448096104,53.11955061044914,1,0,17.0
17,5,165.48648836183892,25.88930413598686,52.36586404775081,33.59176475271222,14.397416282011733,9.735252447976332,31.784508935096344,47.067364897558704,1,1,18.0
17,6,108.55773061614133,18.841881830675444,35.45890622086093,20.192675991541428,11.655906867240722,7.812589485618781,20.840628342296796,31.661356872947607,1,1,20.0
17,7,153.8224054520188,22.142333641618414,49.826987159180774,29.33302941204674,12.789270616906819,9.321845812019342,35.47276090693445,49.455308837318725,1,1,20.0
17,8,210.10230200207204,37.045223786865016,81.4574096563943,47.526577211407165,16.868949149888337,13.195973340997073,52.2382394221246,66.97859097234465,1,1,18.0
17,9,149.3369164058549,24.661640042346292,57.38276074705721,35.10261752980971,18.369365531516728,9.947902923114386,34.50101815905914,41.461900564006804,1,1,17.0
17,10,147.24557302903298,20.36227880733598,53.10194633493295,44.23380622860237,19.746178105493808,11.168082726333756,38.13130560102471,49.16488263818571,1,1,22.0
18,2,150.97791294386943,21.905039464365426,48.30853300677064,35.29860793496738,14.247798365136301,10.36754893678307,35.34237205794224,47.86228524900536,1,1,18.0
18,3,144.33844071905088,18.885141007997,47.284266031650745,28.72311100978529,11.794438434587923,8.746002463655977,30.848731031982002,39.748071487929984,1,1,19.0
19,2,129.58308764560488,22.696018421539183,38.16391514048897,22.499602905719186,13.035414620651057,6.893366013593085,29.49288972532099,42.747615102309176,0,0,14.0
19,3,139.51152249926525,36.443725056826054,45.23210130802647,28.600438702721487,17.760878826980985,6.962742458206333,44.71308942434534,49.264876139958446,0,1,10.0
19,4,150.54240152646528,23.833018835991584,46.515459507217656,39.09729698116709,15.377185876766747,4.785102614347837,32.179615907192144,41.23046090044285,0,0,17.0
19,5,162.0613337231347,25.830070311215714,52.0947453785268,35.321866829427265,17.030227883852653,6.358468010955619,35.32505968700574,53.99218418135703,0,1,9.0
19,6,143.00982384601974,24.454339294665587,46.16915606648846,29.979110011430727,15.448598248181312,8.471193609944322,32.00214677449555,47.602837105713114,0,0,17.0
19,7,132.34069786205617,14.503189774320056,33.35847242668368,24.26719078613367,13.698768611219839,4.559421962618231,21.834745475219805,38.50856071402532,0,1,16.0
19,8,241.86172385589774,28.660591605808232,61.89626189428865,52.07324713004181,25.28276289555276,9.865546741812857,43.2793456774499,72.59588793590208,0,0,18.0
19,9,195.59875346069597,29.568147738550632,59.52966301525572,38.547751416016546,20.302241804046187,7.593475633594776,40.06480477713274,53.98969041068194,0,0,16.0
19,10,180.76118899774355,31.720598799321678,56.454125909941034,40.80804785326357,19.190888278217322,7.9159572075740305,42.96415030694624,66.65604659696338,0,1,10.0
